Taxa Code,Mangrove/Associate,Species Name
0_Blank,,BLANK
Ac_ebr,M,Acanthus ebracteatus 
Ac_ebr-ebr,M,Acanthus ebracteatus subsp. ebracteatus
Ac_ebr-eba,M,Acanthus ebracteatus subsp. ebarbatus
Ac_ili,M,Acanthus ilicifolius 
Ac_vol,A,Acanthus volubilis 
Ar_aur,M,Acrostichum aureum 
Ar_dan,M,Acrostichum danaeifolium 
Ar_spe,M,Acrostichum speciosum 
Ai_ann,M,Aegialitis annulata 
Ai_rot,M,Aegialitis rotundifolia 
Ae_cor,M,Aegiceras corniculatum 
Ae_flo,M,Aegiceras floridum 
Ag_cuc,A,Aglaia cucullata 
Am_lat,A,Amphitecna latifolia 
An_gla,A,Annona glabra 
Av_alb,M,Avicennia alba 
Av_bic,M,Avicennia bicolor 
Av_ger,M,Avicennia germinans 
Av_int,M,Avicennia integra 
Av_mar,M,Avicennia marina 
Av_mar-mar,M,Avicennia marina subsp. Marina
Av_mar-aus,M,Avicennia marina var. australasica
Av_mar-euc,M,Avicennia marina var. eucalyptifolia
Av_off,M,Avicennia officinalis 
Av_rum,M,Avicennia rumphiana (= A. lanata)
Av_sch,M,Avicennia schaueriana 
Ba_rac,M,Barringtonia racemosa 
Bo_arg,A,Brownlowia argentata
Bo_ter,M,Brownlowia tersa
Br_cyl,M,Bruguiera cylindrica 
Br_dun,M,Bruguiera dungarra 
Br_exa,M,Bruguiera exaristata 
Br_gym,M,Bruguiera gymnorhiza 
Br_hai,M,Bruguiera hainesii 
Br_par,M,Bruguiera parviflora 
Br_rhy,M,Bruguiera rhynchopetala 
Br_sex,M,Bruguiera sexangula 
Ca_phi,M,Camptostemon philippinense
Ca_sch,M,Camptostemon schultzii
Ce_aus,M,Ceriops australis
Ce_dec,M,Ceriops decandra
Ce_pse,M,Ceriops pseudodecandra (ex C. decandra)
Ce_tag,M,Ceriops tagal
Ce_zip,M,Ceriops zippeliana (ex C. decandra) 
Co_ere,M,Conocarpus erectus
Cr_pat,M,Crenea patentinervis
Cy_iri,M,Cynometra iripa
Di_lit,M,Diospyros littorea
Do_spa,M,Dolichandrone spathacea 
Ex_aga,M,Excoecaria agallocha 
Ex_aga-aga,M,Excoecaria agallocha var. agallocha
Ex_aga-ova,M,Excoecaria agallocha var. ovalis
Ex_ind,A,Excoecaria indica 
He_fom,M,Heritiera fomes 
He_glo,A,Heritiera globosa
He_lit,M,Heritiera littoralis 
Hi_til,A,Talipariti tiliaceum (ex Hibiscus tiliaceus)
Hp_man,A,Hippomane mancinella
In_fag,A,Inocarpus fagifer
Ka_can,M,Kandelia candel
Ka_obo,M,Kandelia obovata
Ln_pat,A,Lagunaria patersonia
La_rac,M,Laguncularia racemosa 
Lu_lit,M,Lumnitzera littorea 
Lu_rac,M,Lumnitzera racemosa 
Lu_ros,M,Lumnitzera rosea 
Mo_ole,M,Mora oleifera 
Lo_mon,M,Lonchocarpus monilis (ex Muellera moniliformis)
Ny_fru,M,Nypa fruticans 
Os_oct,M,Osbornia octodonta 
Pa_spi,M,Pavonia spicata (ex P. paludicola) 
Pa_rhi,M,Pavonia rhizophorae
Pe_ben,M,Pelliciera benthamii 
Pe_rhi,M,Pelliciera rhizophorae 
Pm_aci,M,Pemphis acidula 
Ph_pal,A,Phoenix paludosa
Pt_off,A,Pterocarpus officinalis
Rh_ann,M,Rhizophora annamalayana 
Rh_api,M,Rhizophora apiculata 
Rh_bre,M,Rhizophora brevistyla
Rh_har,M,Rhizophora harrisonii 
Rh_lam,M,Rhizophora lamarckii 
Rh_man,M,Rhizophora mangle 
Rh_muc,M,Rhizophora mucronata 
Rh_rac,M,Rhizophora racemosa 
Rh_sam,M,Rhizophora samoensis 
Rh_neo,M,Rhizophora samoensis var. neocaledonica
Rh_sel,M,Rhizophora selala 
Rh_sty,M,Rhizophora stylosa 
Rh_tom,M,Rhizophora tomlinsonii 
Sh_ter,A,Schinus terebinthifolia
Sc_hyd,M,Scyphiphora hydrophylacea 
So_alb,M,Sonneratia alba 
So_ape,M,Sonneratia apetala 
So_cas,M,Sonneratia caseolaris
So_gri,M,Sonneratia griffithii 
So_gul,M,Sonneratia gulngai 
So_hai,M,Sonneratia hainanensis 
So_lan,M,Sonneratia lanceolata
So_ova,M,Sonneratia ovata 
So_ura,M,Sonneratia urama 
Ta_pal,M,Tabebuia palustris 
Th_pop,A,Thespesia populnea
Xy_gra,M,Xylocarpus granatum 
Xy_mol,M,Xylocarpus moluccensis (= X. mekongensis)
Xy_rum,A,Xylocarpus rumphii
Za_roe,A,Zamia roezlii